"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead","HardCoral","Macroalgae","Non.Coral","Rubble","Sand","SoftCoral"
"14","2015","Medium","S.Lagoon","34","34.2","2015.34.2",47.208229858995,42.4771844082668,1.48440686709696,0,6.17260044508962,0.130892538650415,2.52668588190129
"15","2015","Medium","S.Lagoon","34","34.3","2015.34.3",44.386739383164,32.7412313083698,1.08704967253341,16.6374029237009,3.22518928051293,0,1.92238743171897
"16","2015","Medium","S.Lagoon","35","35.1","2015.35.1",38.1810929497361,46.2179433718686,0.133544360535414,0.266389045326806,12.7131769870401,2.487853285493,0
"17","2015","Medium","S.Lagoon","35","35.2","2015.35.2",39.974596289229,43.8648339159468,0.0498740404026584,0,10.2877156733623,2.03092240485213,3.79205767620708
"18","2015","Medium","S.Lagoon","35","35.3","2015.35.3",39.9584839325784,52.3444626573744,0.853099832422579,1.07432476882744,4.86635508582759,0.450190558949386,0.453083164020141
"19","2015","Very Low","BOW","15","15.1","2015.15.1",23.4038650634523,76.5204186876246,0,0,0.0757162489231012,0,0
"20","2015","Very Low","BOW","15","15.2","2015.15.2",24.740662685795,71.8607921822527,0,0,3.39854513195221,0,0
"21","2015","Very Low","BOW","15","15.3","2015.15.3",39.318746656898,60.6105253174154,0,0,0.0707280256865195,0,0
"22","2015","Very Low","BOW","19","19.1","2015.19.1",67.7529598086867,31.9582107018124,0.00533619730083393,0.203112915059611,0.0803803771404306,0,0
"23","2015","Very Low","BOW","19","19.2","2015.19.2",35.8258923272488,63.4748055317955,0.699302140955682,0,0,0,0
"24","2015","Very Low","Vaskes","5","5.1","2015.5.1",32.1196986948433,55.1842376157166,0.223671188609587,0.0571234875613356,0,0,12.4152690132692
"25","2015","Very Low","Vaskes","5","5.2","2015.5.2",17.5182254431618,36.7357780380992,2.76149243615244,0.0304875575191304,19.0119285299256,0.2970492912345,23.6450387039075
"26","2015","Very Low","Vaskes","5","5.3","2015.5.3",18.7082053955244,60.396928905694,2.49186920221563,0.791386620769202,0.674957205259478,0,16.9366526705373
"27","2017","Very High","N.Lagoon","27","27.1","2017.27.1",19.8332958416903,0.474544820306066,2.78650308351315,0,64.8464875039072,12.0591687505832,0
"28","2017","Very High","N.Lagoon","27","27.2","2017.27.2",19.0566852932016,0,0.0385880738734185,0,72.5106896649754,8.39403696794959,0
"29","2017","Very High","N.Lagoon","27","27.3","2017.27.3",17.6429842989572,0.0175119663020537,0,0,77.4913942711442,4.84810946359654,0
"30","2017","Very High","N.Lagoon","30","30.1","2017.30.1",47.8104839818335,8.68136633698013,3.95301404479638,0,30.9115932682958,8.64354236809414,0
"31","2017","Very High","N.Lagoon","30","30.2","2017.30.2",29.4306958723719,2.25137842969354,1.19042807977137,0,67.1274976181632,0,0
"32","2017","Very High","N.Lagoon","30","30.3","2017.30.3",52.5538038892085,14.7372445317159,8.41796929031941,0,24.137666815896,0.153315472860301,0
"33","2017","Very High","N.Lagoon","32","32.1","2017.32.1",41.832470772221,0.0879183545907488,0.462470965215534,0,53.7431354641176,3.83671914250655,0.0372853013485338
"34","2017","Very High","N.Lagoon","32","32.2","2017.32.2",38.6753531064495,0.287726194453632,0,0,61.0197190657971,0.0172016332997647,0
"35","2017","Very High","N.Lagoon","32","32.3","2017.32.3",32.3063152471467,0.175512739497008,0.464226853605343,0.0236924391503561,50.5202777163738,16.5099750042268,0
"36","2017","Medium","S.Lagoon","8","8.1","2017.8.1",67.1107007877729,8.93023354595259,3.56191542848719,0.08633239126232,19.9518584950829,0.358959351442043,0
