"","year","hum_dist","region","site","pub.site","ppq","Benthic_Morphology","area_2d","percent.coverage","colony.count","year.site.ppq"
"78","2015","Medium","S.Lagoon","34","M3","2","Live_Foliose",0.650378,4.06385466404332,2.2,"2015.34.2"
"79","2015","Medium","S.Lagoon","34","M3","2","Live_FreeLiving",0.083917,0.524351210899697,2.2,"2015.34.2"
"80","2015","Medium","S.Lagoon","34","M3","2","Live_Massive",1.333036,8.32940930649199,2.2,"2015.34.2"
"81","2015","Medium","S.Lagoon","34","M3","2","Live_Massive_Grooved",0.570983,3.56775894578145,2.2,"2015.34.2"
"82","2015","Medium","S.Lagoon","34","M3","2","Live_Porites",1.456386,9.10015566139597,2.2,"2015.34.2"
"83","2015","Medium","S.Lagoon","34","M3","2","Live_SubMassive",0.45119,2.81923832889443,2.2,"2015.34.2"
"84","2015","Medium","S.Lagoon","34","M3","2","Macroalgae",0.237564,1.48440686709696,2.2,"2015.34.2"
"85","2015","Medium","S.Lagoon","34","M3","2","Rubble",0.987861,6.17260044508962,2.2,"2015.34.2"
"86","2015","Medium","S.Lagoon","34","M3","2","Sand",0.020948,0.130892538650415,2.2,"2015.34.2"
"87","2015","Medium","S.Lagoon","34","M3","2","SoftCoral_Plating",0.40437,2.52668588190129,2.2,"2015.34.2"
"88","2015","Medium","S.Lagoon","34","M3","3","Dead_Branching",0.448718,2.80281071848766,2.2,"2015.34.3"
"89","2015","Medium","S.Lagoon","34","M3","3","Dead_Massive",6.657409,41.5839286646764,2.2,"2015.34.3"
"90","2015","Medium","S.Lagoon","34","M3","3","Live_Branching",0.473769,2.95928585723591,2.2,"2015.34.3"
"91","2015","Medium","S.Lagoon","34","M3","3","Live_Encrusting",1.929762,12.0538013133643,2.2,"2015.34.3"
"92","2015","Medium","S.Lagoon","34","M3","3","Live_Foliose",0.430291,2.68771082699775,2.2,"2015.34.3"
"93","2015","Medium","S.Lagoon","34","M3","3","Live_FreeLiving",0.026936,0.168249344829456,2.2,"2015.34.3"
"94","2015","Medium","S.Lagoon","34","M3","3","Live_Massive",0.745541,4.65684529230388,2.2,"2015.34.3"
"95","2015","Medium","S.Lagoon","34","M3","3","Live_Massive_Grooved",0.270762,1.69125070926318,2.2,"2015.34.3"
"96","2015","Medium","S.Lagoon","34","M3","3","Live_Porites",1.234333,7.70996876118862,2.2,"2015.34.3"
"97","2015","Medium","S.Lagoon","34","M3","3","Live_SubMassive",0.130337,0.814119203186694,2.2,"2015.34.3"
"98","2015","Medium","S.Lagoon","34","M3","3","Macroalgae",0.174032,1.08704967253341,2.2,"2015.34.3"
"99","2015","Medium","S.Lagoon","34","M3","3","NonCoral_Encrusting",0.021928,0.136968058858788,2.2,"2015.34.3"
"100","2015","Medium","S.Lagoon","34","M3","3","NonCoral_Massive",0.001488,0.0092944396015084,2.2,"2015.34.3"
"101","2015","Medium","S.Lagoon","34","M3","3","NonCoral_SubMassive",2.640161,16.4911404252406,2.2,"2015.34.3"
"102","2015","Medium","S.Lagoon","34","M3","3","Rubble",0.516339,3.22518928051293,2.2,"2015.34.3"
"103","2015","Medium","S.Lagoon","34","M3","3","SoftCoral_Nodular",0.307766,1.92238743171897,2.2,"2015.34.3"
"104","2015","Medium","S.Lagoon","35","M2","1","Dead_Branching",0.279773,1.74777126725333,2.2,"2015.35.1"
"105","2015","Medium","S.Lagoon","35","M2","1","Dead_Massive",5.832033,36.4333216824828,2.2,"2015.35.1"
"106","2015","Medium","S.Lagoon","35","M2","1","Live_Branching",0.680254,4.24961806762678,2.2,"2015.35.1"
"107","2015","Medium","S.Lagoon","35","M2","1","Live_Columnar",0.03174,0.198283108172056,2.2,"2015.35.1"
"108","2015","Medium","S.Lagoon","35","M2","1","Live_Encrusting",2.369142,14.8002784959345,2.2,"2015.35.1"
"109","2015","Medium","S.Lagoon","35","M2","1","Live_Foliose",0.158738,0.991652930844861,2.2,"2015.35.1"
"110","2015","Medium","S.Lagoon","35","M2","1","Live_FreeLiving",0.048786,0.30477125757032,2.2,"2015.35.1"
"111","2015","Medium","S.Lagoon","35","M2","1","Live_Massive",1.423455,8.89247264470872,2.2,"2015.35.1"
"112","2015","Medium","S.Lagoon","35","M2","1","Live_Massive_Grooved",0.442537,2.76457504225386,2.2,"2015.35.1"
"113","2015","Medium","S.Lagoon","35","M2","1","Live_Porites",2.084214,13.0203034031416,2.2,"2015.35.1"
"114","2015","Medium","S.Lagoon","35","M2","1","Live_SubMassive",0.159432,0.995988421615857,2.2,"2015.35.1"
"115","2015","Medium","S.Lagoon","35","M2","1","Macroalgae",0.021377,0.133544360535414,2.2,"2015.35.1"
"116","2015","Medium","S.Lagoon","35","M2","1","NonCoral_SubMassive",0.042642,0.266389045326806,2.2,"2015.35.1"
"117","2015","Medium","S.Lagoon","35","M2","1","Rubble",2.035051,12.7131769870401,2.2,"2015.35.1"
"118","2015","Medium","S.Lagoon","35","M2","1","Sand",0.398241,2.487853285493,2.2,"2015.35.1"
"119","2015","Medium","S.Lagoon","35","M2","2","Dead_Branching",0.104526,0.64802814408437,2.2,"2015.35.2"
"120","2015","Medium","S.Lagoon","35","M2","2","Dead_Massive",1.692668,10.4940063007386,2.2,"2015.35.2"
"121","2015","Medium","S.Lagoon","35","M2","2","Live_Branching",1.200287,7.44139981419548,2.2,"2015.35.2"
"122","2015","Medium","S.Lagoon","35","M2","2","Live_Encrusting",0.938781,5.82014531438751,2.2,"2015.35.2"
"123","2015","Medium","S.Lagoon","35","M2","2","Live_Foliose",0.126783,0.78601450540008,2.2,"2015.35.2"
"124","2015","Medium","S.Lagoon","35","M2","2","Live_Massive",1.354659,8.3984573946883,2.2,"2015.35.2"
"125","2015","Medium","S.Lagoon","35","M2","2","Live_Massive_Grooved",0.295204,1.8301714429547,2.2,"2015.35.2"
"126","2015","Medium","S.Lagoon","35","M2","2","Live_Porites",2.247819,13.9357669365286,2.2,"2015.35.2"
"127","2015","Medium","S.Lagoon","35","M2","2","Live_SubMassive",0.392834,2.43544656787057,2.2,"2015.35.2"
"128","2015","Medium","S.Lagoon","35","M2","2","Live_Tabulate",0.19426,1.20435056607762,2.2,"2015.35.2"
"129","2015","Medium","S.Lagoon","35","M2","2","Macroalgae",0.007983,0.0494920754092334,2.2,"2015.35.2"
"130","2015","Medium","S.Lagoon","35","M2","2","Rubble",6.692663,41.4923940729783,2.2,"2015.35.2"
"131","2015","Medium","S.Lagoon","35","M2","2","Sand",0.274419,1.70131101612507,2.2,"2015.35.2"
"132","2015","Medium","S.Lagoon","35","M2","2","SoftCoral_Plating",0.606969,3.76301584856156,2.2,"2015.35.2"
"133","2015","Medium","S.Lagoon","35","M2","3","Dead_Branching",0.64642,4.03852650072943,2.2,"2015.35.3"
"134","2015","Medium","S.Lagoon","35","M2","3","Dead_Massive",5.749468,35.919957431849,2.2,"2015.35.3"
"135","2015","Medium","S.Lagoon","35","M2","3","Live_Branching",0.867162,5.41761813902035,2.2,"2015.35.3"
"136","2015","Medium","S.Lagoon","35","M2","3","Live_Columnar",0.070852,0.44264979367854,2.2,"2015.35.3"
"137","2015","Medium","S.Lagoon","35","M2","3","Live_Encrusting",1.038271,6.48662626224258,2.2,"2015.35.3"
"138","2015","Medium","S.Lagoon","35","M2","3","Live_Foliose",0.411514,2.57094488787657,2.2,"2015.35.3"
"139","2015","Medium","S.Lagoon","35","M2","3","Live_FreeLiving",0.081224,0.507449145285182,2.2,"2015.35.3"
"140","2015","Medium","S.Lagoon","35","M2","3","Live_Massive",2.002611,12.5113665947097,2.2,"2015.35.3"
"141","2015","Medium","S.Lagoon","35","M2","3","Live_Massive_Grooved",0.227949,1.42411756646572,2.2,"2015.35.3"
"142","2015","Medium","S.Lagoon","35","M2","3","Live_Porites",3.258067,20.3548620411683,2.2,"2015.35.3"
"143","2015","Medium","S.Lagoon","35","M2","3","Live_SubMassive",0.420779,2.62882822692743,2.2,"2015.35.3"
"144","2015","Medium","S.Lagoon","35","M2","3","Macroalgae",0.13655,0.853099832422579,2.2,"2015.35.3"
"145","2015","Medium","S.Lagoon","35","M2","3","NonCoral_Encrusting",0.155618,0.972227680131358,2.2,"2015.35.3"
"146","2015","Medium","S.Lagoon","35","M2","3","NonCoral_Massive",0.016342,0.10209708869608,2.2,"2015.35.3"
"147","2015","Medium","S.Lagoon","35","M2","3","Rubble",0.778925,4.86635508582759,2.2,"2015.35.3"
