"","year","hum_dist","region","site","ppq","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_SubMassive","Live_Tabulate","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching","year.site.ppq"
"41",2017,"Very High","N.Lagoon",32,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,"2017.32.1"
"42",2017,"Very High","N.Lagoon",32,2,1,0,0,11,0,0,1,9,0,0,0,0,0,0,0,0,"2017.32.2"
"43",2017,"Very High","N.Lagoon",32,3,2,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,"2017.32.3"
"44",2017,"Very Low","BOW",15,1,3,0,0,15,0,0,0,10,15,0,0,0,0,0,0,0,"2017.15.1"
"45",2017,"Very Low","BOW",15,2,2,0,0,19,0,0,0,4,10,0,0,0,0,0,0,0,"2017.15.2"
"46",2017,"Very Low","BOW",15,3,4,2,0,41,0,4,1,15,38,0,0,0,0,0,0,0,"2017.15.3"
"47",2017,"Very Low","BOW",19,1,0,0,0,37,0,0,0,3,12,0,0,0,0,0,0,0,"2017.19.1"
"48",2017,"Very Low","BOW",19,2,0,0,0,15,0,0,0,2,13,0,0,0,0,0,0,0,"2017.19.2"
"49",2017,"Very Low","BOW",19,3,2,0,0,11,0,3,0,7,9,0,0,0,0,0,0,0,"2017.19.3"
"50",2017,"Very Low","Vaskes",5,1,0,0,0,61,0,1,0,52,33,0,0,0,0,0,0,0,"2017.5.1"
"51",2017,"Very Low","Vaskes",5,2,3,0,0,47,0,1,7,55,9,0,0,1,0,0,0,0,"2017.5.2"
"52",2017,"Very Low","Vaskes",5,3,0,0,0,14,0,2,12,44,10,0,0,0,0,0,1,0,"2017.5.3"
"53",2017,"Very Low","Vaskes",37,1,6,0,1,29,0,0,2,53,7,0,0,0,0,0,0,0,"2017.37.1"
"54",2017,"Very Low","Vaskes",37,2,3,0,0,28,0,0,0,32,5,0,0,0,0,0,0,0,"2017.37.2"
"55",2017,"Very Low","Vaskes",37,3,1,0,0,20,0,0,5,39,9,0,0,0,0,0,0,0,"2017.37.3"
"56",2019,"Medium","S.Lagoon",8,1,46,0,2,191,0,0,10,171,67,0,0,1,0,1,0,0,"2019.8.1"
"57",2019,"Medium","S.Lagoon",8,2,25,0,0,153,0,0,10,165,53,0,0,1,0,0,1,0,"2019.8.2"
"58",2019,"Medium","S.Lagoon",8,3,13,0,0,88,0,0,1,77,24,0,0,0,0,0,0,0,"2019.8.3"
"59",2019,"Medium","S.Lagoon",34,1,17,0,0,156,0,0,17,162,21,0,0,1,0,0,0,0,"2019.34.1"
"60",2019,"Medium","S.Lagoon",34,2,19,0,0,276,0,0,6,139,21,0,0,1,0,0,0,0,"2019.34.2"
"61",2019,"Medium","S.Lagoon",34,3,30,0,0,217,0,0,5,97,11,0,0,1,0,0,0,0,"2019.34.3"
"62",2019,"Medium","S.Lagoon",35,1,29,0,0,246,1,1,4,155,20,0,0,1,0,0,0,0,"2019.35.1"
"63",2019,"Medium","S.Lagoon",35,2,21,0,3,239,0,0,3,193,27,0,0,2,0,0,0,1,"2019.35.2"
"64",2019,"Medium","S.Lagoon",35,3,29,0,1,178,0,1,5,187,27,2,0,4,0,0,0,0,"2019.35.3"
"65",2019,"Very High","N.Lagoon",27,1,4,0,0,9,0,0,3,8,0,0,0,0,0,0,0,0,"2019.27.1"
"66",2019,"Very High","N.Lagoon",27,2,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,"2019.27.2"
"67",2019,"Very High","N.Lagoon",27,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,"2019.27.3"
"68",2019,"Very High","N.Lagoon",30,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2019.30.1"
"69",2019,"Very High","N.Lagoon",30,2,9,0,0,19,0,0,0,11,6,0,0,0,0,0,0,0,"2019.30.2"
"70",2019,"Very High","N.Lagoon",30,3,16,0,0,18,0,0,3,36,12,0,0,0,0,1,0,0,"2019.30.3"
"71",2019,"Very High","N.Lagoon",32,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2019.32.1"
"72",2019,"Very High","N.Lagoon",32,2,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,"2019.32.2"
"73",2019,"Very High","N.Lagoon",32,3,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,"2019.32.3"
"74",2019,"Very Low","Vaskes",5,1,17,0,0,174,2,0,9,86,52,0,0,0,0,0,1,0,"2019.5.1"
"75",2019,"Very Low","Vaskes",5,2,18,0,0,202,0,0,17,77,14,0,0,0,0,0,3,0,"2019.5.2"
"76",2019,"Very Low","Vaskes",5,3,16,0,0,151,1,1,28,78,35,0,0,0,0,1,2,0,"2019.5.3"
"77",2019,"Very Low","Vaskes",37,1,23,0,1,104,0,0,6,170,18,0,0,0,0,2,0,0,"2019.37.1"
"78",2019,"Very Low","Vaskes",37,2,19,0,0,58,0,0,2,64,11,0,0,0,0,0,3,0,"2019.37.2"
"79",2019,"Very Low","Vaskes",37,3,12,0,0,75,0,1,8,71,27,0,0,0,0,2,0,0,"2019.37.3"
