"","year","hum_dist","region","site","ppq","site.ppq","year.site.ppq","status","per_area","prop_area"
"93","2015","Medium","S.Lagoon","35",2,"35.2","2015.35.2","Dead",39.974596289229,0.39974596289229
"94","2015","Medium","S.Lagoon","35",2,"35.2","2015.35.2","HardCoral",43.8648339159468,0.438648339159468
"95","2015","Medium","S.Lagoon","35",2,"35.2","2015.35.2","Macroalgae",0.0498740404026584,0.000498740404026584
"96","2015","Medium","S.Lagoon","35",2,"35.2","2015.35.2","Rubble",10.2877156733623,0.102877156733623
"97","2015","Medium","S.Lagoon","35",2,"35.2","2015.35.2","Sand",2.03092240485213,0.0203092240485213
"98","2015","Medium","S.Lagoon","35",2,"35.2","2015.35.2","SoftCoral",3.79205767620708,0.0379205767620708
"99","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","Dead",39.9584839325784,0.399584839325784
"100","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","HardCoral",52.3444626573744,0.523444626573744
"101","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","Macroalgae",0.853099832422579,0.00853099832422579
"102","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","Non.Coral",1.07432476882744,0.0107432476882744
"103","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","Rubble",4.86635508582759,0.0486635508582759
"104","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","Sand",0.450190558949386,0.00450190558949386
"105","2015","Medium","S.Lagoon","35",3,"35.3","2015.35.3","SoftCoral",0.453083164020141,0.00453083164020141
"106","2015","Very Low","BOW","15",1,"15.1","2015.15.1","Dead",23.4038650634523,0.234038650634523
"107","2015","Very Low","BOW","15",1,"15.1","2015.15.1","HardCoral",76.5204186876246,0.765204186876246
"108","2015","Very Low","BOW","15",1,"15.1","2015.15.1","Rubble",0.0757162489231012,0.000757162489231012
"109","2015","Very Low","BOW","15",2,"15.2","2015.15.2","Dead",24.740662685795,0.24740662685795
"110","2015","Very Low","BOW","15",2,"15.2","2015.15.2","HardCoral",71.8607921822527,0.718607921822527
"111","2015","Very Low","BOW","15",2,"15.2","2015.15.2","Rubble",3.39854513195221,0.0339854513195221
"112","2015","Very Low","BOW","15",3,"15.3","2015.15.3","Dead",39.318746656898,0.39318746656898
"113","2015","Very Low","BOW","15",3,"15.3","2015.15.3","HardCoral",60.6105253174154,0.606105253174154
"114","2015","Very Low","BOW","15",3,"15.3","2015.15.3","Rubble",0.0707280256865195,0.000707280256865195
"115","2015","Very Low","BOW","19",1,"19.1","2015.19.1","Dead",67.7529598086867,0.677529598086867
"116","2015","Very Low","BOW","19",1,"19.1","2015.19.1","HardCoral",31.9582107018124,0.319582107018124
"117","2015","Very Low","BOW","19",1,"19.1","2015.19.1","Macroalgae",0.00533619730083393,5.33619730083393e-05
"118","2015","Very Low","BOW","19",1,"19.1","2015.19.1","Non.Coral",0.203112915059611,0.00203112915059611
"119","2015","Very Low","BOW","19",1,"19.1","2015.19.1","Rubble",0.0803803771404306,0.000803803771404306
"120","2015","Very Low","BOW","19",2,"19.2","2015.19.2","Dead",35.8258923272488,0.358258923272488
"121","2015","Very Low","BOW","19",2,"19.2","2015.19.2","HardCoral",63.4748055317955,0.634748055317955
"122","2015","Very Low","BOW","19",2,"19.2","2015.19.2","Macroalgae",0.699302140955682,0.00699302140955682
"123","2015","Very Low","Vaskes","5",1,"5.1","2015.5.1","Dead",32.1196986948433,0.321196986948433
"124","2015","Very Low","Vaskes","5",1,"5.1","2015.5.1","HardCoral",55.1842376157166,0.551842376157166
"125","2015","Very Low","Vaskes","5",1,"5.1","2015.5.1","Macroalgae",0.223671188609587,0.00223671188609587
"126","2015","Very Low","Vaskes","5",1,"5.1","2015.5.1","Non.Coral",0.0571234875613356,0.000571234875613356
"127","2015","Very Low","Vaskes","5",1,"5.1","2015.5.1","SoftCoral",12.4152690132692,0.124152690132692
"128","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","Dead",17.5182254431618,0.175182254431618
"129","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","HardCoral",36.7357780380992,0.367357780380992
"130","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","Macroalgae",2.76149243615244,0.0276149243615244
"131","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","Non.Coral",0.0304875575191304,0.000304875575191304
"132","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","Rubble",19.0119285299256,0.190119285299256
"133","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","Sand",0.2970492912345,0.002970492912345
"134","2015","Very Low","Vaskes","5",2,"5.2","2015.5.2","SoftCoral",23.6450387039075,0.236450387039075
"135","2015","Very Low","Vaskes","5",3,"5.3","2015.5.3","Dead",18.7082053955244,0.187082053955244
"136","2015","Very Low","Vaskes","5",3,"5.3","2015.5.3","HardCoral",60.396928905694,0.60396928905694
"137","2015","Very Low","Vaskes","5",3,"5.3","2015.5.3","Macroalgae",2.49186920221563,0.0249186920221563
"138","2015","Very Low","Vaskes","5",3,"5.3","2015.5.3","Non.Coral",0.791386620769202,0.00791386620769202
"139","2015","Very Low","Vaskes","5",3,"5.3","2015.5.3","Rubble",0.674957205259478,0.00674957205259478
"140","2015","Very Low","Vaskes","5",3,"5.3","2015.5.3","SoftCoral",16.9366526705373,0.169366526705373
"141","2017","Very High","N.Lagoon","27",1,"27.1","2017.27.1","Dead",19.8332958416903,0.198332958416903
"142","2017","Very High","N.Lagoon","27",1,"27.1","2017.27.1","HardCoral",0.474544820306066,0.00474544820306066
"143","2017","Very High","N.Lagoon","27",1,"27.1","2017.27.1","Macroalgae",2.78650308351315,0.0278650308351315
"144","2017","Very High","N.Lagoon","27",1,"27.1","2017.27.1","Rubble",64.8464875039072,0.648464875039072
"145","2017","Very High","N.Lagoon","27",1,"27.1","2017.27.1","Sand",12.0591687505832,0.120591687505832
"146","2017","Very High","N.Lagoon","27",2,"27.2","2017.27.2","Dead",19.0566852932016,0.190566852932016
"147","2017","Very High","N.Lagoon","27",2,"27.2","2017.27.2","Macroalgae",0.0385880738734185,0.000385880738734185
"148","2017","Very High","N.Lagoon","27",2,"27.2","2017.27.2","Rubble",72.5106896649754,0.725106896649754
"149","2017","Very High","N.Lagoon","27",2,"27.2","2017.27.2","Sand",8.39403696794959,0.0839403696794959
"150","2017","Very High","N.Lagoon","27",3,"27.3","2017.27.3","Dead",17.6429842989572,0.176429842989572
"151","2017","Very High","N.Lagoon","27",3,"27.3","2017.27.3","HardCoral",0.0175119663020537,0.000175119663020537
"152","2017","Very High","N.Lagoon","27",3,"27.3","2017.27.3","Rubble",77.4913942711442,0.774913942711442
"153","2017","Very High","N.Lagoon","27",3,"27.3","2017.27.3","Sand",4.84810946359654,0.0484810946359654
"154","2017","Very High","N.Lagoon","30",1,"30.1","2017.30.1","Dead",47.8104839818335,0.478104839818335
"155","2017","Very High","N.Lagoon","30",1,"30.1","2017.30.1","HardCoral",8.68136633698013,0.0868136633698013
"156","2017","Very High","N.Lagoon","30",1,"30.1","2017.30.1","Macroalgae",3.95301404479638,0.0395301404479638
"157","2017","Very High","N.Lagoon","30",1,"30.1","2017.30.1","Rubble",30.9115932682958,0.309115932682959
"158","2017","Very High","N.Lagoon","30",1,"30.1","2017.30.1","Sand",8.64354236809414,0.0864354236809414
"159","2017","Very High","N.Lagoon","30",2,"30.2","2017.30.2","Dead",29.4306958723719,0.294306958723719
"160","2017","Very High","N.Lagoon","30",2,"30.2","2017.30.2","HardCoral",2.25137842969354,0.0225137842969354
"161","2017","Very High","N.Lagoon","30",2,"30.2","2017.30.2","Macroalgae",1.19042807977137,0.0119042807977137
"162","2017","Very High","N.Lagoon","30",2,"30.2","2017.30.2","Rubble",67.1274976181632,0.671274976181632
"163","2017","Very High","N.Lagoon","30",3,"30.3","2017.30.3","Dead",52.5538038892085,0.525538038892085
"164","2017","Very High","N.Lagoon","30",3,"30.3","2017.30.3","HardCoral",14.7372445317159,0.147372445317159
"165","2017","Very High","N.Lagoon","30",3,"30.3","2017.30.3","Macroalgae",8.41796929031941,0.084179692903194
"166","2017","Very High","N.Lagoon","30",3,"30.3","2017.30.3","Rubble",24.137666815896,0.24137666815896
"167","2017","Very High","N.Lagoon","30",3,"30.3","2017.30.3","Sand",0.153315472860301,0.00153315472860301
"168","2017","Very High","N.Lagoon","32",1,"32.1","2017.32.1","Dead",41.832470772221,0.41832470772221
"169","2017","Very High","N.Lagoon","32",1,"32.1","2017.32.1","HardCoral",0.0879183545907488,0.000879183545907488
"170","2017","Very High","N.Lagoon","32",1,"32.1","2017.32.1","Macroalgae",0.462470965215534,0.00462470965215534
"171","2017","Very High","N.Lagoon","32",1,"32.1","2017.32.1","Rubble",53.7431354641176,0.537431354641177
"172","2017","Very High","N.Lagoon","32",1,"32.1","2017.32.1","Sand",3.83671914250655,0.0383671914250655
"173","2017","Very High","N.Lagoon","32",1,"32.1","2017.32.1","SoftCoral",0.0372853013485338,0.000372853013485338
"174","2017","Very High","N.Lagoon","32",2,"32.2","2017.32.2","Dead",38.6753531064495,0.386753531064495
"175","2017","Very High","N.Lagoon","32",2,"32.2","2017.32.2","HardCoral",0.287726194453632,0.00287726194453631
"176","2017","Very High","N.Lagoon","32",2,"32.2","2017.32.2","Rubble",61.0197190657971,0.610197190657971
"177","2017","Very High","N.Lagoon","32",2,"32.2","2017.32.2","Sand",0.0172016332997647,0.000172016332997647
"178","2017","Very High","N.Lagoon","32",3,"32.3","2017.32.3","Dead",32.3063152471467,0.323063152471467
"179","2017","Very High","N.Lagoon","32",3,"32.3","2017.32.3","HardCoral",0.175512739497008,0.00175512739497008
"180","2017","Very High","N.Lagoon","32",3,"32.3","2017.32.3","Macroalgae",0.464226853605343,0.00464226853605343
"181","2017","Very High","N.Lagoon","32",3,"32.3","2017.32.3","Non.Coral",0.0236924391503561,0.000236924391503561
"182","2017","Very High","N.Lagoon","32",3,"32.3","2017.32.3","Rubble",50.5202777163738,0.505202777163738
"183","2017","Very High","N.Lagoon","32",3,"32.3","2017.32.3","Sand",16.5099750042268,0.165099750042268
"184","2017","Medium","S.Lagoon","8",1,"8.1","2017.8.1","Dead",67.1107007877729,0.671107007877729
"185","2017","Medium","S.Lagoon","8",1,"8.1","2017.8.1","HardCoral",8.93023354595259,0.0893023354595259
"186","2017","Medium","S.Lagoon","8",1,"8.1","2017.8.1","Macroalgae",3.56191542848719,0.0356191542848719
"187","2017","Medium","S.Lagoon","8",1,"8.1","2017.8.1","Non.Coral",0.08633239126232,0.0008633239126232
"188","2017","Medium","S.Lagoon","8",1,"8.1","2017.8.1","Rubble",19.9518584950829,0.199518584950829
"189","2017","Medium","S.Lagoon","8",1,"8.1","2017.8.1","Sand",0.358959351442043,0.00358959351442043
"190","2017","Medium","S.Lagoon","8",2,"8.2","2017.8.2","Dead",39.1221612585957,0.391221612585957
"191","2017","Medium","S.Lagoon","8",2,"8.2","2017.8.2","HardCoral",18.27094564902,0.1827094564902
"192","2017","Medium","S.Lagoon","8",2,"8.2","2017.8.2","Macroalgae",42.6068930923842,0.426068930923842
"193","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","Dead",62.1350479922091,0.621350479922091
"194","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","HardCoral",3.78676866777494,0.0378676866777494
"195","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","Macroalgae",23.3940650669139,0.233940650669139
"196","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","Non.Coral",0.0133174680852153,0.000133174680852153
"197","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","Rubble",3.28734176219385,0.0328734176219385
"198","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","Sand",7.36837465328069,0.0736837465328069
"199","2017","Medium","S.Lagoon","8",3,"8.3","2017.8.3","SoftCoral",0.0150843895423723,0.000150843895423723
"200","2017","Medium","S.Lagoon","34",1,"34.1","2017.34.1","Dead",42.5296023611072,0.425296023611072
"201","2017","Medium","S.Lagoon","34",1,"34.1","2017.34.1","HardCoral",8.54506820150601,0.0854506820150601
"202","2017","Medium","S.Lagoon","34",1,"34.1","2017.34.1","Macroalgae",44.2045676132739,0.442045676132739
"203","2017","Medium","S.Lagoon","34",1,"34.1","2017.34.1","Rubble",0.708559063337059,0.00708559063337059
"204","2017","Medium","S.Lagoon","34",1,"34.1","2017.34.1","Sand",4.01220276077582,0.0401220276077582
"205","2017","Medium","S.Lagoon","34",2,"34.2","2017.34.2","Dead",55.1307524250001,0.551307524250001
"206","2017","Medium","S.Lagoon","34",2,"34.2","2017.34.2","HardCoral",5.52814009330702,0.0552814009330702
"207","2017","Medium","S.Lagoon","34",2,"34.2","2017.34.2","Macroalgae",32.3101047169827,0.323101047169827
"208","2017","Medium","S.Lagoon","34",2,"34.2","2017.34.2","Rubble",5.79586736810667,0.0579586736810667
"209","2017","Medium","S.Lagoon","34",2,"34.2","2017.34.2","Sand",1.23513539660354,0.0123513539660354
"210","2017","Medium","S.Lagoon","34",3,"34.3","2017.34.3","Dead",38.5466815112518,0.385466815112518
"211","2017","Medium","S.Lagoon","34",3,"34.3","2017.34.3","HardCoral",4.03522593535719,0.0403522593535719
"212","2017","Medium","S.Lagoon","34",3,"34.3","2017.34.3","Macroalgae",51.497458978539,0.51497458978539
"213","2017","Medium","S.Lagoon","34",3,"34.3","2017.34.3","Rubble",2.55172323671987,0.0255172323671987
"214","2017","Medium","S.Lagoon","34",3,"34.3","2017.34.3","Sand",3.36891033813214,0.0336891033813214
"215","2017","Medium","S.Lagoon","35",1,"35.1","2017.35.1","Dead",49.2538833744531,0.492538833744531
"216","2017","Medium","S.Lagoon","35",1,"35.1","2017.35.1","HardCoral",17.9412452076965,0.179412452076965
