"","year","hum_dist","pub.site","site","ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","region.kb","island.side","region.3","region.4","region.full","hdist.cont","sqrt.hdist.cont","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"92","2017","Very High","VH2","32",2,8,16.01346,17.36764,1.08456,0.02745,1.17457,60.69723,61.8718,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069,3.36209859733188,0,0,26.06859727504,0,0,0.0681149425445307,0,0,0.344160038446685,0,0,0,0.322922917433259,0,0.751244417213736,0.764936114055333,0,1.19042807977137,0,0,0,0,67.1274976181632,0,0,0
"95","2017","Very High","VH2","32",3,8,16.00488,17.23134,1.07663,0.0257,1.25254,67.99377,69.24631,"N.Lagoon","Leeward","Leeward","Leeward","Mid Lagoon",4860.7457,69.7190483297069,2.53258726589197,0,0,50.0212166233165,0,0,0,0,0,0.223100834320684,0,0,0,0.414478211261615,0,7.9314326194702,6.16823286666337,0,8.41796929031941,0,0,0,0,24.137666815896,0.153315472860301,0,0
"98","2017","Very High","VH3","30",1,8,16.00278,22.75711,1.42207,0.05916,18.52962,24.10545,42.63506,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,0.421468962430187,0,0,41.4110018097908,0,0,0.0319001309250104,0,0,0,0,0,0.0396448153260083,0.0163734083397302,0,0,0,0,0.462470965215534,0,0,0,0,53.7431354641176,3.83671914250655,0.0372853013485338,0
"101","2017","Very High","VH3","30",2,8,16.00015,20.04172,1.2526,0.04809,-3.48627,79.70926,76.22299,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,1.35425867797425,0,0,37.3210944284753,0,0,0.0113574486287738,0,0,0.087431749944321,0,0,0.00428948169761826,0.184647514182918,0,0,0,0,0,0,0,0,0,61.0197190657971,0.0172016332997647,0,0
"104","2017","Very High","VH3","30",3,8,16.01308,20.02738,1.25069,0.05351,8.12088,71.67716,79.79804,"N.Lagoon","Leeward","Leeward","Leeward","North Lagoon",5085.68478,71.3139872675761,0.320510217176943,0,0,31.9858050299698,0,0,0.121611190828727,0,0,0.0331831604239297,0,0.0054482613236051,0,0.0152701269207464,0,0,0,0,0.464226853605343,0,0,0.0236924391503561,0,50.5202777163738,16.5099750042268,0,0
"107","2017","Medium","M1","8",1,8,16.00906,20.05835,1.25294,0.04881,38.2848,19.73777,38.2848,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,3.42878452225943,0,0,63.6819162655135,0,0,0.133205863806452,0,0,1.40373057622702,0,0,0.246766595529842,3.73233148365097,0,2.56743449254188,0.846764534196428,0,3.56191542848719,0,0,0.08633239126232,0,19.9518584950829,0.358959351442043,0,0
"110","2017","Medium","M1","8",2,8,16.00633,20.27982,1.26699,0.04427,28.06343,-18.00029,10.06314,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,6.82106250782781,0,0,31.9505316974245,0,0.350567053343399,0.0383480540345882,0,0,2.1351726739975,0,0,0.212485324326528,10.15748063467,0.344514070062813,2.44238812365951,2.94055676826912,0,42.6068930923842,0,0,0,0,0,0,0,0
"113","2017","Medium","M1","8",3,8,16.01648,19.34658,1.20792,0.04165,-4.47345,36.55111,32.07766,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,3.31794134545013,0,2.6466298189661,56.1704768277928,0,0,0.0419316060292105,0,0,0.576622018288823,0,0,0.29658057617623,0.743187144204142,0.279498254244139,1.69016963569826,0.158779433134135,0,23.3940650669139,0,0,0.0133174680852153,0,3.28734176219385,7.36837465328069,0.0150843895423723,0
"116","2017","Medium","M2","35",1,8,16.00533,18.92222,1.18224,0.0491,11.43445,44.14344,55.57789,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,6.73855490905718,0,0,35.79104745205,0,0,0.00847188829226182,0,0,1.44896719016578,0,0,0.105527685806776,1.90674838579047,0.00666405341017504,4.91380118603942,0.154887812001131,0,44.2045676132739,0,0,0,0,0.708559063337059,4.01220276077582,0,0
"119","2017","Medium","M2","35",2,8,16.00509,19.80206,1.23724,0.05356,17.13003,41.23725,58.36729,"S.Lagoon","Leeward","Leeward","Leeward","South Lagoon",1212.82819,34.8256829078771,4.4222185345818,0,0,50.7085338904183,0,0,0.205983932866013,0,0,1.11984909792328,0,0,0.287050954745303,1.52662692550571,0,1.88171047419024,0.506918708076468,0,32.3101047169827,0,0,0,0,5.79586736810667,1.23513539660354,0,0
