,year,pub.site,site,ppq,DEM,vrm,vrm.max,vrm.min,pro.curv,pro.max,pro.min,plan.curv,plan.max,plan.min,year.site.ppq
118,2019,M2,35,3,1,0.07997,0.771946967,0.000119,63.95583,740830.5625,-495011.8125,100.06036,583583.0625,-888116.9375,2019.35.3
119,2019,M3,34,1,1,0.06343,0.765237808,0.000049,232.28089,406341.875,-332926.9375,222.86147,309947.1875,-304256.7188,2019.34.1
120,2019,M3,34,2,1,0.0631,0.832902253,0.000076,203.95548,356488.8125,-584450.0625,222.49062,592074.125,-303555.9375,2019.34.2
121,2019,M3,34,3,1,0.06227,0.822639346,0.000093,253.54151,442168.8125,-607597,253.37145,756984,-402254.4375,2019.34.3
122,2019,VL3,5,1,1,0.08341,0.783390284,0.000114,135.07258,520249.6563,-535138.1875,141.74423,445597.8438,-488651.4063,2019.5.1
123,2019,VL3,5,2,1,0.06876,0.824153185,0.000078,-9.98158,543913.3125,-428380.875,3.00843,451575.6563,-486384.4688,2019.5.2
124,2019,VL3,5,3,1,0.06695,0.729868472,0.000083,22.86646,284065.0625,-307119.8125,18.6722,292226.0625,-274887.6563,2019.5.3
125,2019,VL4,37,1,1,0.06835,0.865093827,0.000061,274.16811,497633.3438,-462001.7188,288.90523,765303.4375,-419389.7188,2019.37.1
126,2019,VL4,37,2,1,0.05844,0.844004333,0.000144,118.53327,461793.9375,-486987.9063,118.14825,383951.6563,-352518.0313,2019.37.2
127,2019,VL4,37,3,1,0.07258,0.783956707,0.000246,82.97602,455873.1563,-420642.7188,87.88855,734492.1875,-479564.75,2019.37.3
128,2015,VH1,27,1,4,0.05548,0.449546397,0.000845,186.49252,22557.69336,-20981.94922,180.10576,21841.32813,-18150.18164,2015.27.1
129,2015,VH1,27,2,4,0.05679,0.360291183,0.000292,127.40622,21602.50195,-20642.05078,129.93211,20308.23633,-14316.16309,2015.27.2
130,2015,VH1,27,3,4,0.0522,0.489106834,0.001554,114.16787,19497.97266,-17244.14258,120.44093,13576.6377,-14290.53027,2015.27.3
131,2015,VH2,32,1,4,0.0671,0.395269036,0.000815,68.45186,28170.62305,-28199.23633,83.85334,19060.44531,-14766.4873,2015.32.1
132,2015,VH2,32,2,4,0.05461,0.410203159,0.000718,91.89049,12775.09863,-12317.88379,88.08707,11165.92871,-8176.866699,2015.32.2
133,2015,VH2,32,3,4,0.05108,0.303677917,0.000794947,111.4921,14720.10352,-8662.792969,106.54498,7845.518555,-9587.71875,2015.32.3
134,2015,VH3,30,1,4,0.10312,0.623689771,0.002869,83.60409,43771.48438,-33170.94141,124.02877,31846,-40653.60547,2015.30.1
135,2015,VH3,30,2,4,0.06989,0.476629019,0.000324,177.08075,32512.79883,-25780.59766,178.0763,26231.27148,-29279.92383,2015.30.2
136,2015,VH3,30,3,4,0.07524,0.49242574,0.001331,172.07207,23185.42773,-21984.18945,161.60974,21799.61914,-18033.26953,2015.30.3
137,2015,M1,8,1,4,0.06009,0.456333458,0.00137,54.48177,12689.39746,-15492.01855,81.77878,16241.28613,-12588.8418,2015.8.1
138,2015,M1,8,2,4,0.08421,0.513804972,0.002118,21.04315,24060.56836,-22606.31055,71.57912,30684.97656,-20768.0918,2015.8.2
139,2015,M1,8,3,4,0.05604,0.503828764,0.00106,59.29131,19495.95898,-14911.88574,63.16165,15048.47852,-18195.97266,2015.8.3
140,2015,M2,35,1,4,0.06166,0.383787394,0.001696,71.16332,17827.73828,-13960.76465,91.726,13728.62793,-12762.87793,2015.35.1
141,2015,M2,35,2,4,0.0758,0.435709238,0.000617,81.31756,23931.27734,-20279.93164,115.48634,20565.00586,-25168.2832,2015.35.2
