"","year","hum_dist","region","site","ppq","year.site.ppq","Sand","Rubble","Dead","Macroalgae","Non.Coral","SoftCoral","HardCoral"
"28",2017,"Medium","S.Lagoon",8,2,"2017.8.2",0,0,0.391221612585957,0.426068930923842,0,0,0.1827094564902
"29",2017,"Medium","S.Lagoon",8,3,"2017.8.3",0.0736837465328069,0.0328734176219385,0.621350479922091,0.233940650669139,0.000133174680852153,0.000150843895423723,0.0378676866777494
"30",2017,"Medium","S.Lagoon",34,1,"2017.34.1",0.0401220276077582,0.00708559063337059,0.425296023611072,0.442045676132739,0,0,0.0854506820150601
"31",2017,"Medium","S.Lagoon",34,2,"2017.34.2",0.0123513539660354,0.0579586736810667,0.551307524250001,0.323101047169827,0,0,0.0552814009330702
"32",2017,"Medium","S.Lagoon",34,3,"2017.34.3",0.0336891033813214,0.0255172323671987,0.385466815112518,0.51497458978539,0,0,0.0403522593535719
"33",2017,"Medium","S.Lagoon",35,1,"2017.35.1",0.051185022260907,0.228462412831832,0.492538833744531,0.0484012790857656,0,0,0.179412452076965
"34",2017,"Medium","S.Lagoon",35,2,"2017.35.2",0.0364892002833826,0.102280363461225,0.60957095907439,0.091853798136829,0,0,0.159805679044173
"35",2017,"Medium","S.Lagoon",35,3,"2017.35.3",0.00795772535307726,0.0270854591211357,0.444563711675626,0.410952816582828,0.000496979182274688,0,0.108943308085059
"36",2017,"Very High","N.Lagoon",27,1,"2017.27.1",0.120591687505832,0.648464875039072,0.198332958416903,0.0278650308351315,0,0,0.00474544820306066
"37",2017,"Very High","N.Lagoon",27,2,"2017.27.2",0.0839403696794959,0.725106896649754,0.190566852932016,0.000385880738734185,0,0,0
"38",2017,"Very High","N.Lagoon",27,3,"2017.27.3",0.0484810946359654,0.774913942711442,0.176429842989572,0,0,0,0.000175119663020537
"39",2017,"Very High","N.Lagoon",30,1,"2017.30.1",0.0864354236809414,0.309115932682959,0.478104839818335,0.0395301404479638,0,0,0.0868136633698013
"40",2017,"Very High","N.Lagoon",30,2,"2017.30.2",0,0.671274976181632,0.294306958723719,0.0119042807977137,0,0,0.0225137842969354
"41",2017,"Very High","N.Lagoon",30,3,"2017.30.3",0.00153315472860301,0.24137666815896,0.525538038892085,0.084179692903194,0,0,0.147372445317159
"42",2017,"Very High","N.Lagoon",32,1,"2017.32.1",0.0383671914250655,0.537431354641177,0.41832470772221,0.00462470965215534,0,0.000372853013485338,0.000879183545907488
"43",2017,"Very High","N.Lagoon",32,2,"2017.32.2",0.000172016332997647,0.610197190657971,0.386753531064495,0,0,0,0.00287726194453631
"44",2017,"Very High","N.Lagoon",32,3,"2017.32.3",0.165099750042268,0.505202777163738,0.323063152471467,0.00464226853605343,0.000236924391503561,0,0.00175512739497008
"45",2017,"Very Low","BOW",15,1,"2017.15.1",0,0.30304223147825,0.629674382324686,0.000525477427027748,0,0,0.0667579087700356
"46",2017,"Very Low","BOW",15,2,"2017.15.2",0,0.0592252839984824,0.908019332525982,0,0,0,0.0327553834755354
"47",2017,"Very Low","BOW",15,3,"2017.15.3",9.55264328012155e-05,0.000341308634658627,0.917743182089812,0.00971401985038024,0,0,0.0721059629923477
"48",2017,"Very Low","BOW",19,1,"2017.19.1",0.000201876369311918,0.0143786459662683,0.974880606466355,0.00155396693938617,0,0,0.00898490425867917
"49",2017,"Very Low","BOW",19,2,"2017.19.2",0,0.109232368085114,0.868594713158368,0.0115885844482931,0,0,0.0105843343082256
"50",2017,"Very Low","BOW",19,3,"2017.19.3",0,0.223255586932243,0.626426798225304,0.111412332305274,0,0,0.0389052825371788
"51",2017,"Very Low","Vaskes",5,1,"2017.5.1",0,0.00239968012595041,0.824618181590999,0.0779676127524787,0,0,0.0950145255305723
"52",2017,"Very Low","Vaskes",5,2,"2017.5.2",0.00594033416626408,0.0966424542796662,0.437475430373728,0.302078324364438,0.000364717944903001,0,0.157498738871001
"53",2017,"Very Low","Vaskes",5,3,"2017.5.3",0,0.0332839639507553,0.657031633974619,0.182862702766698,0,0.00105122503777635,0.125770474270151
"54",2017,"Very Low","Vaskes",37,1,"2017.37.1",0.0117202630582645,0.405287221426618,0.253047458973612,0.284422672538649,0,0,0.0455223840028563
"55",2017,"Very Low","Vaskes",37,2,"2017.37.2",0.0175204448511691,0.0956022747423595,0.563548024733893,0.202021472514155,0,0,0.121307783158424
"56",2017,"Very Low","Vaskes",37,3,"2017.37.3",0.00156133809486263,0.171745690950524,0.67908435486747,0.0530042106770534,0,0,0.0946044054100896
"57",2019,"Medium","S.Lagoon",8,1,"2019.8.1",0.00238488767724778,0.119940480836415,0.701006181076378,0.0046142337719427,0.000115828838071284,0.000121011476108975,0.171817376323836
"58",2019,"Medium","S.Lagoon",8,2,"2019.8.2",0,0.0406011928077798,0.561687545216178,0.196100316962912,0.000254871855851823,0.00530496938290159,0.196051103774377
"59",2019,"Medium","S.Lagoon",8,3,"2019.8.3",0.097345001244318,0.135890264263674,0.655901057926281,0.0357528835649255,0,0,0.0751107930008018
"60",2019,"Medium","S.Lagoon",34,1,"2019.34.1",0.107930243930868,0.056404168294103,0.587421485632348,0.0803509528286972,4.26001561214519e-05,0,0.167850549157863
"61",2019,"Medium","S.Lagoon",34,2,"2019.34.2",0.0126804496944554,0.108439154179457,0.699078319252481,0.0753203358416855,0.000151473055160927,0,0.10433026797676
"62",2019,"Medium","S.Lagoon",34,3,"2019.34.3",0.0900689781762264,0.0439310019563195,0.704074771101001,0.0731045464794403,0.000323002319681456,0,0.0884976999673312
"63",2019,"Medium","S.Lagoon",35,1,"2019.35.1",0.0573091754705372,0.113325671208322,0.502421273473101,0.078328263860498,0.000170724229133981,0,0.248444891758408
"64",2019,"Medium","S.Lagoon",35,2,"2019.35.2",0.0473525701906821,0.0463587817433041,0.596364525950479,0.060782645260192,0.000853541083513026,0,0.24828793577183
"65",2019,"Medium","S.Lagoon",35,3,"2019.35.3",0.00605766099979899,0.0481228767678878,0.582861733081641,0.100087370831539,0.000653141172906082,0,0.262217217146227
"66",2019,"Very High","N.Lagoon",27,1,"2019.27.1",0.113943526336434,0.717640494775814,0.137748806048471,0.0222200110851303,0,0,0.00844716175415061
"67",2019,"Very High","N.Lagoon",27,2,"2019.27.2",0.075128224431725,0.82016498069644,0.0920484452348368,0.0115598944528388,0,0,0.0010984551841593
"68",2019,"Very High","N.Lagoon",27,3,"2019.27.3",0.0262909818527568,0.87543790711665,0.0902433188670983,0.00744012609176137,0,0,0.000587666071733118
"69",2019,"Very High","N.Lagoon",30,1,"2019.30.1",0.0191452797582427,0.475404870556273,0.503601309335388,0.000921303667172056,0,0,0.000927236682924587
"70",2019,"Very High","N.Lagoon",30,2,"2019.30.2",0.0416999250900672,0.604209862010419,0.229038166082899,0.100022845936488,0,0,0.0250292008801277
"71",2019,"Very High","N.Lagoon",30,3,"2019.30.3",0.0466178793675524,0.326097153876365,0.42869206471911,0.10896563437892,0,2.20405790720094e-05,0.0896052270789807
"72",2019,"Very High","N.Lagoon",32,1,"2019.32.1",0.0191452797582427,0.475404870556273,0.503601309335388,0.000921303667172056,0,0,0.000927236682924587
"73",2019,"Very High","N.Lagoon",32,2,"2019.32.2",0.138202892223411,0.622668671093039,0.236514860674426,0.000363778909839651,0,0,0.00224979709928467
"74",2019,"Very High","N.Lagoon",32,3,"2019.32.3",0.101379634338177,0.661348185872055,0.234781291348736,0,0,0,0.00249088844103319
"75",2019,"Very Low","Vaskes",5,1,"2019.5.1",0.00139514731639843,0.0219681816946501,0.807823783228931,0.0128802004473893,0,0.000554785194107656,0.155377902118523
"76",2019,"Very Low","Vaskes",5,2,"2019.5.2",0.00186315807132861,0.197903683677108,0.482327501341942,0.104212558302815,0,0.00106139204070098,0.212631706566106
"77",2019,"Very Low","Vaskes",5,3,"2019.5.3",0,0.0318733558982574,0.675312884638256,0.0724726759538092,0,0.00161230055779668,0.21872878295188
"78",2019,"Very Low","Vaskes",37,1,"2019.37.1",0.0343035844989447,0.522917708715756,0.329949301364064,0.0183499339678987,0,0.00121357138497749,0.093265900068359
"79",2019,"Very Low","Vaskes",37,2,"2019.37.2",0.00660330884618268,0.267732041779878,0.529151566520686,0.0116513372521348,0,0.00108201021916575,0.183779735381953
"80",2019,"Very Low","Vaskes",37,3,"2019.37.3",0,0.366206172433091,0.471348477609195,0.00720451360082136,0,0.0125775805552993,0.142663255801593
