"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","region.full","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range","plan.curv","plan.range"
"38","2016a","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.8.3",16.01619,27.11764,1.69314,0.04143,0.661137466,0.55821,145.41329,497750.6407,145.9715,450576.6562
"39","2016a","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.35.1",16.00598,25.87371,1.6165,0.04486,0.760098186,21.33286,107.65685,494711.25,128.98971,344421.0313
"40","2016a","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.35.2",16.00736,28.50517,1.78075,0.05439,0.83831514,21.99476,239.08643,683096.3438,261.08119,650119.0313
"41","2016a","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.34.1",16.00813,26.66426,1.66567,0.04254,0.575851367,-8.86246,221.65004,787652.0938,212.78759,453223.0156
"42","2016a","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.34.2",16.00371,26.13256,1.63291,0.04723,0.730750073,29.84115,172.63352,497602.2813,202.47467,481801.3282
"43","2016a","M3","34",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016a.34.3",16.0047,26.37028,1.64766,0.05124,0.755689248,9.38065,238.33426,743684.375,247.71491,942086.9375
"44","2016a","VL1","15",1,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2016a.15.1",15.98617,30.93119,1.93487,0.06518,0.816450036,-0.60902,36.43954,949329.0938,35.83052,676273.5001
"45","2016a","VL3","5",1,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2016a.5.1",16.00809,33.25304,2.07727,0.06162,0.844159448,6.08371,68.8912,1123712.375,74.97491,1336525.875
"46","2016a","VL3","5",2,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2016a.5.2",16.02444,29.35137,1.83166,0.06874,0.715815733,0,62.0762,1023768.5,62.0762,1011068.6563
"47","2016a","VL3","5",3,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2016a.5.3",16.01392,30.03482,1.87555,0.05777,0.745354814,-13.73491,6.42602,755025.6251,-7.30889,791225.9688
"48","2016b","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2016b.27.1",15.99962,21.88293,1.36772,0.02505,0.67410087,-12.45854,210.87343,1156854.375,198.41489,960339.2656
"49","2016b","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2016b.27.2",16.00517,21.58536,1.34865,0.02355,0.634650516,-6.27456,158.01183,508887.5313,151.73727,403602.6094
"50","2016b","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2016b.27.3",16.00472,19.87868,1.24205,0.02109,0.379928875,4.10534,297.89346,333925.8282,301.9988,155870.41406
"51","2016b","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2016b.32.1",16.00932,26.61554,1.6625,0.04816,0.785352111,6.33319,128.55335,831908.6563,134.88654,764258.3126
"52","2016b","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2016b.32.2",16.01919,23.08373,1.44101,0.03666,0.48767104,-5.86491,248.72966,425880.0157,242.86474,250477.5313
"53","2016b","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2016b.32.3",16.00698,21.68907,1.35498,0.03241,0.572851455,-0.37499,210.00923,349049,209.63424,241183.5704
"54","2016b","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2016b.30.1",16.00681,31.03606,1.93893,0.04051,0.942089772,2.47788,293.09005,2993640.625,295.56793,3750721.75
"55","2016b","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2016b.30.2",15.99858,25.59293,1.5997,0.04236,0.640159444,-2.83866,298.55999,783382.25,295.72134,524618.7032
"56","2016b","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2016b.30.3",16.01256,26.1785,1.63487,0.03905,0.651359223,-8.39441,232.88883,730712.1875,224.49442,554018.6876
"57","2016b","M1","8",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.8.1",16.01301,27.23371,1.70072,0.05503,0.831513923,9.71502,155.63292,588443.5469,165.34795,454638.1876
"58","2016b","M1","8",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.8.2",16.00826,28.33013,1.76972,0.05089,0.672893041,40.58236,104.37551,653872.0001,144.95787,508969.7501
"59","2016b","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.8.3",16.01748,26.71418,1.66781,0.04224,0.662050047,3.66061,111.50762,517803.75,115.16822,451130.1719
"60","2016b","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.35.1",16.00581,24.95063,1.55885,0.03841,0.58331317,23.09749,160.48995,333327.9844,183.58744,221378.00781
"61","2016b","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.35.2",16.00442,27.69086,1.7302,0.046,0.69453279,29.36328,227.53426,603147.5,256.89755,580022.2813
"62","2016b","M2","35",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.35.3",16.00582,31.22179,1.95065,0.0547,0.799935702,1.52972,199.15733,967708.0938,200.68704,777304.5313
"63","2016b","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.34.1",16.00775,26.05859,1.62787,0.04429,0.691033427,-9.7324,176.91624,647916.5625,167.18384,471107.0156
"64","2016b","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.34.2",16.0048,25.17864,1.57319,0.04092,0.718881288,27.97808,145.31572,485100.1719,173.2938,413610.0547
"65","2016b","M3","34",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward","South Lagoon",1,"2016b.34.3",16.00619,25.12955,1.56999,0.04026,0.649014014,24.78518,142.49127,624255.1563,167.27645,591588.5938
"66","2016b","VL1","15",1,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2016b.15.1",15.97978,32.04117,2.00511,0.06697,0.782034459,-22.85844,131.08184,1304835.375,108.22339,802659.5313
"67","2016b","VL1","15",2,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2016b.15.2",16.00753,38.64276,2.41404,0.07765,0.803958253,36.77196,-89.77355,1406574.875,-53.00159,1359001.5
"68","2016b","VL1","15",3,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2016b.15.3",16.00741,41.45378,2.58966,0.08752,0.840409302,-15.91858,-8.5032,1674124.75,-24.42178,1533190.1875
"69","2016b","VL3","19",1,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2016b.19.1",16.00101,28.95258,1.80942,0.05326,0.77723398,-2.31195,45.46934,596845.7188,43.15739,458214.1094
"70","2016b","VL3","19",2,"Very Low",0,0,"Windward","Windward","Bay of Wrecks",1,"2016b.19.2",16.00523,28.56032,1.78444,0.05751,0.710720827,14.07217,53.99017,560049.7969,68.06234,540841.8438
"71","2016b","VL3","5",1,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2016b.5.1",16.00811,32.90579,2.05557,0.05751,0.833873232,16.0358,87.29968,714253.0001,103.33549,619578.5001
"72","2016b","VL3","5",2,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2016b.5.2",16.02397,27.86912,1.73921,0.04673,0.819573795,-3.20336,-9.1204,658170,-12.32376,563703.8438
"73","2016b","VL3","5",3,"Very Low",0,0,"Leeward","South Shore","Vaskess Bay",1,"2016b.5.3",16.01407,27.46293,1.71493,0.04831,0.695237244,14.88754,53.57608,672434.1251,68.46362,741051.9376
"74","2017","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2017.27.1",15.99916,22.12574,1.38293,0.03328,0.637380444,2.36308,172.73832,566173.8126,175.10139,326365.6875
"75","2017","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2017.27.2",16.00492,21.70407,1.35609,0.02947,0.537683019,-13.25693,229.09551,557802.7188,215.83859,388155.3594
"76","2017","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward","North Lagoon",1,"2017.27.3",16.00605,20.04707,1.25247,0.02906,0.571936146,3.41371,282.15821,592643.7188,285.57192,415050.5001
"77","2017","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2017.32.1",16.011,26.42526,1.65044,0.04613,0.728532581,8.40187,183.18164,756305.75,191.58351,385997.6407
"78","2017","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2017.32.2",16.01346,24.00475,1.49904,0.04968,0.563885182,-0.79867,273.86548,324773.2656,273.0668,233852.5547
"79","2017","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward","Mid Lagoon",1,"2017.32.3",16.00488,23.44271,1.46472,0.05064,0.720729021,5.88784,216.34786,348388.6562,222.2357,276180.7891
"80","2017","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2017.30.1",16.00278,32.87309,2.05421,0.04329,0.867480917,13.6836,91.71023,1036232.0938,105.39384,838620
"81","2017","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2017.30.2",16.00015,27.19796,1.69986,0.05336,0.669265247,4.0591,304.50746,717407.4688,308.56657,574212.4219
"82","2017","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward","North Lagoon",1,"2017.30.3",16.01308,26.74248,1.67004,0.04572,0.636812102,1.29156,224.09641,857302.6251,225.38796,624484.0313
