Date Analzyed,Site,hum_dist_site,Sample Year,PPQ,Agisoft Folder Name,USER ANALYZING DATA,DEM_Scale (cm),SHAPE_Length,SHAPE_Area,SArea (3D Surface Area),Avg_Slope,3D Surface Area Complexity,Aspect,Aspect_Sine,Aspect_Cos,Avg. BTM_Slope,Avg Curvature,Profile Curvature,Platform Curvature,Surface Area to Planar Ratio (SAPR),Avg_terrain_ruggedness (VRM),Curvature JM style,Pro Curv JM style,Plan Curv JM style,abs_curv,Viewshed_visible_area,Viewshed_non_visible_area,Export DEM for R Analysis?,Export Ortho for CoralNet Analysis?,Create Small Model for SketchFab
19/01/2020,30,VH3,2019,2,KI19_Site30_MPQ2,KB,1,15.821321,15.501408,25.8556,255.692732,1.667951711,180.8459765,-0.002002947,-0.106735524,37.21654811,2.27E-06,449.7506785,449.7506776,1.064138132,0.06275492,-2.959836959,456.6437782,453.683938,2.959836959,,,X,,
19/01/2020,30,VH3,2019,3,KI19_Site30_MPQ3,KB,1,18.232117,20.576528,42.65469,448.938248,2.072978007,181.8928409,-0.017457712,0.312261317,43.67760397,-3.53E-07,119.3995014,119.3994994,1.083944165,0.073561959,-12.7356581,131.650355,118.9146951,12.7356581,,,X,,
20/01/2020,32,VH2,2019,1,KI19_Site32_MPQ1,KB,1,17.025371,17.788024,32.870188,297.384581,1.847883048,168.8735802,0.096525204,0.031770323,41.13957212,-3.12E-06,36.74012456,36.74012537,1.06788194,0.068983222,-2.223101942,39.90724614,37.68414811,2.223101942,,,X,,
20/01/2020,32,VH2,2019,2,KI19_Site32_MPQ2,KB,1,17.288626,16.488074,27.235867,268.232127,1.651852545,186.790555,-0.044399717,0.084935332,36.45587721,9.45E-07,332.3906584,332.3906587,1.065688186,0.061723753,3.000182129,331.4329146,334.4330962,3.000182129,,,X,,
20/01/2020,32,VH2,2019,3,KI19_Site32_MPQ3,KB,1,14.866118,13.599686,21.806967,241.136004,1.603490478,173.399636,0.073067356,-0.112916297,36.08098405,4.00E-06,174.8506038,174.8506045,1.05554257,0.054213298,1.132611195,175.1313687,176.2639766,1.132611195,,,X,,
20/01/2020,8,M1,2019,1,KI19_Sit8_MPQ1,KB,1,15.326991,14.630219,24.87147,248.510019,1.700006678,172.1366675,0.070191136,0.028561373,38.79224815,-2.60E-07,139.3896784,139.3896784,1.053710822,0.054738528,20.87249187,124.3490652,145.2215562,20.87249187,,,X,,
20/01/2020,8,M1,2019,2,KI19_Sit8_MPQ2,KB,1,15.987511,14.706007,34.041285,843.108406,2.31478776,184.6420357,-0.026715272,0.306995629,45.7634209,1.56E-06,-157.9785181,-157.9785197,1.074743132,0.071118567,63.69443666,-210.3659549,-146.6715213,63.69443666,,,X,,
20/01/2020,8,M1,2019,3,KI19_Sit8_MPQ3,KB,1,17.655215,19.458645,31.440405,248.099722,1.615755105,180.1546017,-0.002946442,-0.155356365,35.66116659,-1.04E-06,134.7823812,134.7823826,1.039586761,0.040764653,6.533913854,131.6727183,138.2066343,6.533913854,,,X,,
21/01/2020,34,M3,2019,1,KI19_Site34_MPQ1,KB,1,15.956772,15.799256,27.789473,326.071976,1.75891023,183.2114584,-0.032439001,-0.131676363,37.6691722,6.98E-08,265.6389653,265.6389663,1.077130677,0.061119204,-10.29409935,273.183878,262.8897798,10.29409935,,,X,,
21/01/2020,34,M3,2019,2,KI19_Site34_MPQ2,KB,1,16.510871,16.856404,29.568375,291.765833,1.754133029,181.4636062,-0.019617589,0.038834767,38.53915176,3.77E-06,211.3895108,211.3895072,1.074465362,0.063483634,28.41949588,192.4004955,220.8199834,28.41949588,,,X,,
21/01/2020,34,M3,2019,3,KI19_Site34_MPQ3,KB,1,16.531227,17.038341,28.795032,297.66617,1.690013834,178.1400989,0.018184985,-0.092111276,36.15178939,-4.36E-07,251.3744924,251.3744944,1.072541795,0.059844632,0.002390523,252.8599428,252.8623356,0.002390523,,,X,,
21/01/2020,35,M2,2019,1,KI19_Site35_MPQ1,KB,1,15.324638,14.534303,24.555072,261.104181,1.689456453,183.6302572,-0.029261153,-0.187598594,38.1688432,1.11E-06,148.7182021,148.7182017,1.0595597,0.054612066,32.43938025,123.3768454,155.8162238,32.43938025,,,X,,
21/01/2020,35,M2,2019,2,KI19_Site35_MPQ2,KB,1,15.658201,14.7828,27.869204,375.597288,1.885245285,183.5915645,-0.036881404,-0.047994587,40.01773504,-2.01E-06,238.4067583,238.4067563,1.076560815,0.067992212,37.15421079,217.2861423,254.4403528,37.15421079,,,X,,
21/01/2020,35,M2,2019,3,KI19_Site35_MPQ3,KB,1,15.762649,15.189304,32.391849,480.453299,2.132543334,179.1638606,0.0124943,-0.035466363,43.59618974,-1.80E-06,115.4544771,115.4544762,1.09154085,0.078982227,2.899304657,114.8927402,117.792045,2.899304657,,,X,,
21/01/2020,3,L1,2019,1,KI19_Site3_MPQ1,KB,1,16.469396,16.711402,33.450824,461.98677,2.0016767,168.3783548,0.108508891,-0.00658099,40.33178338,1.64E-06,203.3543266,203.3543276,1.068842001,0.064408888,3.072411358,203.2305622,206.3029728,3.072411358,,,X,,
21/01/2020,40,H1,2019,1,Site3_KI19_MPQ1,KB,1,16.326534,16.45173,34.605558,540.920307,2.103460122,188.7396034,-0.073429921,0.10376434,41.61336981,-1.02E-06,393.486947,393.4869488,1.088099524,0.072240477,11.06659399,386.1243694,397.1909656,11.06659399,,,X,,
21/01/2020,40,H1,2019,2,Site3_KI19_MPQ2,KB,1,16.899139,17.783293,32.306771,327.183597,1.816692274,187.3485728,-0.062903709,-0.012122063,39.73477865,3.70E-06,319.0799504,319.0799515,1.078939809,0.071504161,-7.383467988,324.0684972,316.6850266,7.383467988,,,X,,
21/01/2020,40,H1,2019,3,Site3_KI19_MPQ3,KB,1,16.223864,15.947773,30.673964,398.412222,1.923401092,182.033163,-0.016424156,-0.007089549,39.72007527,5.81E-07,315.8501934,315.8501947,1.07673524,0.071428374,-11.06226674,327.8716442,316.8093786,11.06226674,,,X,,
