"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"21","2015","Very Low","BOW","15","15.3","2015.15.3",8.79987223969353,0,3.90417452177826,26.6146998954262,0,0,7.72531859008054,0,0,2.92086752297146,0.427029827170571,30.9040734906674,0.0345517651984499,0.235870467993975,0,4.44602492563092,4.62646261589602,9.29032611180614,0,0,0,0,0,0.0707280256865195,0,0,0
"22","2015","Very Low","BOW","19","19.1","2015.19.1",20.8891566846244,0,0.253856777214263,42.2953933870894,0,4.3145529597587,19.3745014498336,0,0,3.06115894457266,0,1.72608486953123,0.0171958020748185,0.118696023333304,0,2.06701414017303,4.35174388052517,1.24181559176866,0.00533619730083393,0,0.0797367842575431,0,0.123376130802068,0.0803803771404306,0,0,0
"23","2015","Very Low","BOW","19","19.2","2015.19.2",7.47379748818722,0,2.03677160165735,26.0417970763737,0,0.273526161030593,9.97477766941017,0,0,0.960365194658119,0,45.166525855419,0,0.133477068257346,0.113517355017516,1.36883650927043,3.20025108632067,2.55705479344227,0.699302140955682,0,0,0,0,0,0,0,0
"24","2015","Very Low","Vaskes","5","5.1","2015.5.1",5.97292156777736,0,0.218817191471009,25.9279599355949,0,0,7.42650317421427,0.0480089678378023,0.0444668618177588,19.4985439882714,0,9.33844079616548,0.375038435286223,6.01278431647911,3.55684293027499,4.34105395833159,4.54255418703794,0,0.223671188609587,0,0,0.0571234875613356,0,0,0,12.4152690132692,0
"25","2015","Very Low","Vaskes","5","5.2","2015.5.2",0.974029094553868,0,0.0450292175026665,16.4428416026282,0.0563255284770014,0,2.07882703101118,0,0.0996509377498373,4.47648463795323,0,2.95585139546887,0.921747770226794,5.15503718733091,0.307209730055614,16.5154750098765,4.22549433842624,0,2.76149243615244,0,0,0.0304875575191304,0,19.0119285299256,0.2970492912345,10.0962558034017,13.5487829005057
"26","2015","Very Low","Vaskes","5","5.3","2015.5.3",1.91970553497375,0,0.588165843987455,16.2003340165632,0,0,5.18087173590402,0,0,4.97746365311277,0.459055811634088,14.03713066923,1.45745927764438,8.36768993812721,11.9511348590157,6.97976489474557,6.98635806628023,0,2.49186920221563,0,0,0,0.791386620769202,0.674957205259478,0,16.9366526705373,0
"27","2017","Very High","N.Lagoon","27","27.1","2017.27.1",0,0,0,19.8332958416903,0,0,0.0184385129658061,0,0,0.0328205530791348,0,0,0.314273515401252,0.0161758886628834,0,0.0532779269561122,0.0395584232408768,0,2.78650308351315,0,0,0,0,64.8464875039072,12.0591687505832,0,0
"28","2017","Very High","N.Lagoon","27","27.2","2017.27.2",0,0,0,19.0566852932016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385880738734185,0,0,0,0,72.5106896649754,8.39403696794959,0,0
"29","2017","Very High","N.Lagoon","27","27.3","2017.27.3",0.201090852431039,0,0,17.4418934465262,0,0,0,0,0,0,0,0,0,0.0175119663020537,0,0,0,0,0,0,0,0,0,77.4913942711442,4.84810946359654,0,0
"30","2017","Very High","N.Lagoon","30","30.1","2017.30.1",2.17533749753173,0,0,45.6351464843018,0,0,0.0298567525751293,0,0,0.349145289531765,0,0,0.194400077984988,0.331848619140815,0,7.29454579993351,0.481569797813921,0,3.95301404479638,0,0,0,0,30.9115932682958,8.64354236809414,0,0
