"","year","pub.site","site","ppq","DEM","year.site.ppq","vrm.range","pro.range","plan.range"
"94","2017","VL1",15,3,1,"2017.15.3",0.847449068,892324.2501,715174.1876
"95","2017","VL3",19,1,1,"2017.19.1",0.769008398,554361.4376,412054.6719
"96","2017","VL3",19,2,1,"2017.19.2",0.786955415,703087.2501,615807.1875
"97","2017","VL3",19,3,1,"2017.19.3",0.789212918,979979.5938,830097.2188
"98","2017","VL3",5,1,1,"2017.5.1",0.724276638,668937.0313,416317.8751
"99","2017","VL3",5,2,1,"2017.5.2",0.747653301,732441.0938,692092.375
"100","2017","VL3",5,3,1,"2017.5.3",0.649055688,683796.9688,583372.4688
"101","2017","VL4",37,1,1,"2017.37.1",0.702591458,918765.5938,644002.4688
"102","2017","VL4",37,2,1,"2017.37.2",0.732900151,613443.0626,647447.7501
"103","2017","VL4",37,3,1,"2017.37.3",0.75314334,1246817.8125,1288896.1875
"104","2019","VH1",27,1,1,"2019.27.1",0.630180104,524343.7188,297522.75
"105","2019","VH1",27,2,1,"2019.27.2",0.785572108,524401.5469,641051.4375
"106","2019","VH1",27,3,1,"2019.27.3",0.616792959,311960,229593.1015
"107","2019","VH2",32,1,1,"2019.32.1",0.722958132,776202.5,538782.7969
"108","2019","VH2",32,2,1,"2019.32.2",0.705684,439364.3594,485032.6562
"109","2019","VH2",32,3,1,"2019.32.3",0.776802841,598213.4375,562481.1719
"110","2019","VH3",30,1,1,"2019.30.1",0.766896039,904134.2188,911566.5313
"111","2019","VH3",30,2,1,"2019.30.2",0.753118544,640000.0313,651481.2969
"112","2019","VH3",30,3,1,"2019.30.3",0.81116904,754245,789399.9063
"113","2019","M1",8,1,1,"2019.8.1",0.76327767,493949.9532,934249.2501
"114","2019","M1",8,2,1,"2019.8.2",0.7345836,700305.75,539584.1407
"115","2019","M1",8,3,1,"2019.8.3",0.683446541,562837.4688,353153.6094
"116","2019","M2",35,1,1,"2019.35.1",0.763024863,1352873.0625,1075460.6719
"117","2019","M2",35,2,1,"2019.35.2",0.828074954,806478.75,907811.8125
"118","2019","M2",35,3,1,"2019.35.3",0.771827967,1235842.375,1471700
"119","2019","M3",34,1,1,"2019.34.1",0.765188808,739268.8125,614203.9063
"120","2019","M3",34,2,1,"2019.34.2",0.832826253,940938.875,895630.0625
"121","2019","M3",34,3,1,"2019.34.3",0.822546346,1049765.8125,1159238.4375
"122","2019","VL3",5,1,1,"2019.5.1",0.783276284,1055387.8438,934249.2501
"123","2019","VL3",5,2,1,"2019.5.2",0.824075185,972294.1875,937960.1251
"124","2019","VL3",5,3,1,"2019.5.3",0.729785472,591184.875,567113.7188
"125","2019","VL4",37,1,1,"2019.37.1",0.865032827,959635.0626,1184693.1563
"126","2019","VL4",37,2,1,"2019.37.2",0.843860333,948781.8438,736469.6876
"127","2019","VL4",37,3,1,"2019.37.3",0.783710707,876515.8751,1214056.9375
"128","2015","VH1",27,1,4,"2015.27.1",0.448701397,43539.64258,39991.50977
"129","2015","VH1",27,2,4,"2015.27.2",0.359999183,42244.55273,34624.39942
"130","2015","VH1",27,3,4,"2015.27.3",0.487552834,36742.11524,27867.16797
"131","2015","VH2",32,1,4,"2015.32.1",0.394454036,56369.85938,33826.93261
"132","2015","VH2",32,2,4,"2015.32.2",0.409485159,25092.98242,19342.795409
"133","2015","VH2",32,3,4,"2015.32.3",0.30288297,23382.896489,17433.237305
"134","2015","VH3",30,1,4,"2015.30.1",0.620820771,76942.42579,72499.60547
"135","2015","VH3",30,2,4,"2015.30.2",0.476305019,58293.39649,55511.19531
"136","2015","VH3",30,3,4,"2015.30.3",0.49109474,45169.61718,39832.88867
"137","2015","M1",8,1,4,"2015.8.1",0.454963458,28181.41601,28830.12793
"138","2015","M1",8,2,4,"2015.8.2",0.511686972,46666.87891,51453.06836
"139","2015","M1",8,3,4,"2015.8.3",0.502768764,34407.84472,33244.45118
"140","2015","M2",35,1,4,"2015.35.1",0.382091394,31788.50293,26491.50586
"141","2015","M2",35,2,4,"2015.35.2",0.435092238,44211.20898,45733.28906
"142","2015","M2",35,3,4,"2015.35.3",0.469603822,33863.66992,37695.76074
"143","2015","M3",34,1,4,"2015.34.1",0.376405366,42571.00195,37200.30566
"144","2015","M3",34,2,4,"2015.34.2",0.403115271,28201.53711,26009.82812
"145","2015","M3",34,3,4,"2015.34.3",0.382840254,40512.74414,27660.38281
"146","2015","VL1",15,1,4,"2015.15.1",0.564946874,63412.95117,49011.86914
"147","2015","VL1",15,2,4,"2015.15.2",0.669786485,83492.07422,90504.95703
"148","2015","VL1",15,3,4,"2015.15.3",0.568938699,47654.21094,43095.88281
"149","2015","VL3",19,1,4,"2015.19.1",0.550377867,51742.46289,49430.22265
"150","2015","VL3",19,2,4,"2015.19.2",0.509927393,62253.54688,43205.91016
"151","2015","VL3",5,1,4,"2015.5.1",0.533592599,44422.65039,33629.66211
"152","2015","VL3",5,2,4,"2015.5.2",0.688197384,66970.375,73399.08789
"153","2015","VL3",5,3,4,"2015.5.3",0.435554262,26322.26172,23614.83106
"154","2016a","VH1",27,1,4,"2016a.27.1",0.449476915,31340.7207,24162.58105
"155","2016a","VH1",27,2,4,"2016a.27.2",0.328337927,23302.18457,18631.688477
"156","2016a","VH1",27,3,4,"2016a.27.3",0.398927539,32045.28614,21572.603513
"157","2016a","VH2",32,1,4,"2016a.32.1",0.406407121,39103.98828,36884.61719
"158","2016a","VH2",32,2,4,"2016a.32.2",0.374080443,19121.105467,16650.913086
"159","2016a","VH2",32,3,4,"2016a.32.3",0.258621606,19069.466793,13467.415039
"160","2016a","VH3",30,1,4,"2016a.30.1",0.613784694,68572.21094,54610.4375
"161","2016a","VH3",30,2,4,"2016a.30.2",0.359854711,36599.31055,22826.31934
"162","2016a","VH3",30,3,4,"2016a.30.3",0.387803723,32481.32617,24993.22656
"163","2016a","M1",8,1,4,"2016a.8.1",0.501135696,25187.07324,22568.763185
"164","2016a","M1",8,2,4,"2016a.8.2",0.437603069,43535.68554,29113.70801
"165","2016a","M1",8,3,4,"2016a.8.3",0.418854634,27498.85059,25195.13282
"166","2016a","M2",35,1,4,"2016a.35.1",0.326337776,37340.38867,26623.09473
"167","2016a","M2",35,2,4,"2016a.35.2",0.469321259,42895.79883,36386.18164
"168","2016a","M3",34,1,4,"2016a.34.1",0.337061147,30337.96386,25256.32422
"169","2016a","M3",34,2,4,"2016a.34.2",0.367946322,28322.35352,31913.29394
"170","2016a","M3",34,3,4,"2016a.34.3",0.310835319,45999.63672,23781.93359
"171","2016a","VL1",15,1,4,"2016a.15.1",0.558465652,59307.4043,38747.95214
"172","2016a","VL3",5,1,4,"2016a.5.1",0.611750042,50716.86914,61070.45704
"173","2016a","VL3",5,2,4,"2016a.5.2",0.563694446,45461.18555,44263.65234
"174","2016a","VL3",5,3,4,"2016a.5.3",0.555347904,44562.73437,42961.63477
"175","2016b","VH1",27,1,4,"2016b.27.1",0.368826274,27299.82032,21244.152344
"176","2016b","VH1",27,2,4,"2016b.27.2",0.338836416,28770.90918,18906.136719
"177","2016b","VH1",27,3,4,"2016b.27.3",0.399577923,30867.27539,25341.597164
"178","2016b","VH2",32,1,4,"2016b.32.1",0.435134174,39310.7793,44988.99219
"179","2016b","VH2",32,2,4,"2016b.32.2",0.329021806,19616.121098,20284.436526
"180","2016b","VH2",32,3,4,"2016b.32.3",0.314695061,18019.737793,14425.958008
"181","2016b","VH3",30,1,4,"2016b.30.1",0.729976558,88162.92188,63632.55469
"182","2016b","VH3",30,2,4,"2016b.30.2",0.38397537,39794.6211,32538.37012
"183","2016b","VH3",30,3,4,"2016b.30.3",0.4417781,29636.71973,39700.47265
"184","2016b","M1",8,1,4,"2016b.8.1",0.466277199,30109.98242,22082.21777
"185","2016b","M1",8,2,4,"2016b.8.2",0.454127609,30222.40137,28530.38379
"186","2016b","M1",8,3,4,"2016b.8.3",0.427991921,31146.51758,23354.37598
"187","2016b","M2",35,1,4,"2016b.35.1",0.325977991,24015.68359,18686.224613
"188","2016b","M2",35,2,4,"2016b.35.2",0.380333858,30903.38085,19093.555662
"189","2016b","M2",35,3,4,"2016b.35.3",0.481089153,54892.10156,38763.05664
"190","2016b","M3",34,1,4,"2016b.34.1",0.45771155,39796.32813,35092.11425
"191","2016b","M3",34,2,4,"2016b.34.2",0.331038209,24170.99024,24355.033207
"192","2016b","M3",34,3,4,"2016b.34.3",0.357991148,31936.19629,21923.403318
"193","2016b","VL1",15,1,4,"2016b.15.1",0.509349492,62066.72851,40714.5918
"194","2016b","VL1",15,2,4,"2016b.15.2",0.648215894,72146.94531,82822.14648
"195","2016b","VL1",15,3,4,"2016b.15.3",0.616222261,52932.67968,55737.0664
