"","year","hum_dist","region","site","site.ppq","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Encrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Branching","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating"
"12","2015","Medium","S.Lagoon","8","8.3","2015.8.3",0.0177078488742399,0,0,0.402390932074735,0,0,0.0137873207303616,0,0.000136439499790938,0.0591491145732122,0.00612310502082373,0.0323631995755826,0.00268670293730202,0.0724001687478738,0.0135294906641663,0.20365821461952,0.0118513784822982,0,0.00516365746279729,0,0,0.000174530161059805,0,0.0840516649240709,0.0455427557057313,0.0178091950106979,0.0114742809357364
"13","2015","Medium","S.Lagoon","34","34.1","2015.34.1",0.037632652056799,0.00583962914479416,0,0.402394212348345,0,0,0.043013340326956,0.00464724479018101,0,0.149128177851706,0,0.00622268363365501,0.00281778954263119,0.0777673063587107,0.0276828538677417,0.115450174591777,0.021292220858488,0,0.0151553544215874,0,0,1.09925957996917e-05,0,0.0441935453850866,0.00525277442812426,0.000232655791783247,0.0412663920058346
"14","2015","Medium","S.Lagoon","34","34.2","2015.34.2",0.0416641048020091,0,0,0.430418193787941,0,0,0.0199012519895066,0,0.00105611308395518,0.119766797834137,0,0.0406385466404332,0.00524351210899697,0.0832940930649199,0.0356775894578145,0.0910015566139597,0.0281923832889443,0,0.0148440686709696,0,0,0,0,0.0617260044508962,0.00130892538650415,0,0.0252668588190129
"15","2015","Medium","S.Lagoon","34","34.3","2015.34.3",0.0280281071848766,0,0,0.415839286646764,0,0,0.0295928585723591,0,0,0.120538013133643,0,0.0268771082699775,0.00168249344829456,0.0465684529230388,0.0169125070926318,0.0770996876118862,0.00814119203186694,0,0.0108704967253341,0,0.00136968058858788,9.2944396015084e-05,0.164911404252406,0.0322518928051293,0,0.0192238743171897,0
"16","2015","Medium","S.Lagoon","35","35.1","2015.35.1",0.0174777126725333,0,0,0.364333216824828,0,0,0.0424961806762678,0.00198283108172056,0,0.148002784959345,0,0.00991652930844861,0.0030477125757032,0.0889247264470872,0.0276457504225386,0.130203034031416,0.00995988421615857,0,0.00133544360535414,0,0,0,0.00266389045326806,0.127131769870401,0.02487853285493,0,0
"17","2015","Medium","S.Lagoon","35","35.2","2015.35.2",0.00653029430931764,0,0,0.393215668582972,0,0,0.0749883030599845,0,0,0.0746902333534067,0,0.00792080729596673,0,0.0846327416983901,0.0184429615721237,0.141294412214473,0.0245424261399698,0.012136453825154,0.000498740404026584,0,0,0,0,0.102877156733623,0.0203092240485213,0,0.0379205767620708
"18","2015","Medium","S.Lagoon","35","35.3","2015.35.3",0.0403852650072943,0,0,0.35919957431849,0,0,0.0541761813902035,0.0044264979367854,0,0.0648662626224258,0,0.0257094488787657,0.00507449145285182,0.125113665947097,0.0142411756646572,0.203548620411683,0.0262882822692743,0,0.00853099832422579,0,0.00972227680131358,0.0010209708869608,0,0.0486635508582759,0.00450190558949386,0,0.00453083164020141
"19","2015","Very Low","BOW","15","15.1","2015.15.1",0.0619237635297361,0,0.119841947638754,0.0387829068881864,0,0.0134900325778466,0.0639516899855518,0,0,0.013800728996844,0.00016886896823496,0.487008174594526,0,0.00532043417560686,0.00896185865779771,0.0986561989556229,0.0404119553483969,0.046924277193665,0,0,0,0,0,0.000757162489231012,0,0,0
"20","2015","Very Low","BOW","15","15.2","2015.15.2",0.0360050709995516,0,0.0318677888177603,0.165965827018366,0,0.0135679400222726,0.0434636318270979,0,0,0.0125492938387705,0.00167209846796538,0.312759911052055,0,0.00459814589159049,0.00181023268559085,0.0169851382694168,0.0164498993999467,0.308319570390094,0,0,0,0,0,0.0339854513195221,0,0,0
"21","2015","Very Low","BOW","15","15.3","2015.15.3",0.0879987223969353,0,0.0390417452177826,0.266146998954262,0,0,0.0772531859008054,0,0,0.0292086752297146,0.00427029827170571,0.309040734906674,0.000345517651984499,0.00235870467993975,0,0.0444602492563092,0.0462646261589602,0.0929032611180614,0,0,0,0,0,0.000707280256865195,0,0,0
