"","year","pub.site","site","ppq","hum_dist","hdist.cont","sqrt.hdist.cont","island.side","region.3","DEM","year.site.ppq","area_2d","area_3d","rug","vrm","vrm.range","curv","pro.curv","pro.range.log","plan.curv","plan.range.log"
"165","2016a","M1","8",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.8.3",16.01619,22.63555,1.41329,0.05309,0.418854634,5.22408,48.55045,10.2218994860539,53.77453,10.1344061127817
"166","2016a","M2","35",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.35.1",16.005977,21.583612,1.34847,0.054110403,0.326337776,14.3448255,48.99212384,10.5278308259864,63.33694926,10.1895343410146
"167","2016a","M2","35",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.35.2",16.007363,22.761886,1.42196,0.063341291,0.469321259,25.58989919,88.31406739,10.6665291707501,113.9039645,10.5019443562742
"168","2016a","M3","34",1,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.34.1",16.007976,22.056116,1.37782,0.054696799,0.337061147,-8.55790155,124.0001946,10.3201551399056,115.4422919,10.136831867501
"169","2016a","M3","34",2,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.34.2",16.003706,21.471761,1.34167,0.054733832,0.367946322,21.90422315,91.42315213,10.2514066488744,113.3273764,10.3707779398928
"170","2016a","M3","34",3,"Medium",1212.82819,34.8256829078771,"Leeward","Leeward",4,"2016a.34.3",16.004702,21.397877,1.33697,0.05202665,0.310835319,2.714201138,83.12843229,10.7363887780487,85.84263363,10.0766814785456
"171","2016a","VL1","15",1,"Very Low",0,0,"Windward","Windward",4,"2016a.15.1",15.98617,24.00045,1.50133,0.07476,0.558465652,-18.8167,32.67559,10.9904894389113,13.8589,10.564833185385
"172","2016a","VL3","5",1,"Very Low",0,0,"Leeward","South Shore",4,"2016a.5.1",16.00809,27.26659,1.7033,0.097,0.611750042,3.79455,66.75938,10.8340138588935,70.55392,11.0197835100601
"173","2016a","VL3","5",2,"Very Low",0,0,"Leeward","South Shore",4,"2016a.5.2",16.02436,24.70054,1.54144,0.07879,0.563694446,1.82405,35.12021,10.724614176037,36.94426,10.6979191303089
"174","2016a","VL3","5",3,"Very Low",0,0,"Leeward","South Shore",4,"2016a.5.3",16.01381,24.91003,1.55553,0.0829,0.555347904,-8.77502,12.10083,10.7046532364977,3.3258,10.6680627817641
"175","2016b","VH1","27",1,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2016b.27.1",15.99962,19.93773,1.24614,0.04194,0.368826274,-3.26648,106.58177,10.2146353994664,103.31529,9.96383695267079
"176","2016b","VH1","27",2,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2016b.27.2",16.00517,19.30737,1.20632,0.03503,0.338836416,-2.34445,73.36236,10.2671200577147,71.01791,9.84724184247299
"177","2016b","VH1","27",3,"Very High",7276,85.2994724485445,"Leeward","Leeward",4,"2016b.27.3",16.00472,17.91197,1.11917,0.02587,0.399577923,2.4713,120.72383,10.33745185283,123.19513,10.1402024812496
"178","2016b","VH2","32",1,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2016b.32.1",16.00932,21.82516,1.36328,0.06148,0.435134174,8.21076,83.68258,10.5792540426915,91.89335,10.7141731208286
"179","2016b","VH2","32",2,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2016b.32.2",16.01919,19.67002,1.2279,0.04653,0.329021806,-3.35416,103.67982,9.88410701214674,100.32566,9.91760919738932
"180","2016b","VH2","32",3,"Very High",4860.7457,69.7190483297069,"Leeward","Leeward",4,"2016b.32.3",16.00698,19.01331,1.18781,0.03985,0.314695061,4.40578,104.51998,9.79922298016856,108.92577,9.57678450220398
"181","2016b","VH3","30",1,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2016b.30.1",16.00681,26.32504,1.64462,0.07894,0.729976558,1.5642,165.19721,11.1331820701369,166.76142,10.8098190114811
"182","2016b","VH3","30",2,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2016b.30.2",15.99858,22.26734,1.39183,0.06595,0.38397537,-4.66415,175.30833,10.591487033898,170.64418,10.3901752910121
"183","2016b","VH3","30",3,"Very High",5085.68478,71.3139872675761,"Leeward","Leeward",4,"2016b.30.3",16.01256,22.6273,1.4131,0.06752,0.4417781,-9.33302,164.54696,10.2967694029077,155.21395,10.589118372146
