KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
5_07_2015,10,SD,1,,Lutjanus bohar,22,1,,15:30,35,4,
5_07_2015,10,SD,1,,Aphareus furca,22,1,,15:30,35,4,
5_07_2015,10,SD,1,,Chromis margaritifer,6,8,,15:30,35,4,
5_07_2015,10,SD,1,,Chromis margaritifer,4,12,,15:30,35,4,
5_07_2015,10,SD,1,,Chromis margaritifer,5,5,,15:30,35,4,
5_07_2015,10,SD,1,,Chromis margaritifer,2,7,,15:30,35,4,
5_07_2015,10,SD,1,,Chromis margaritifer,3,4,,15:30,35,4,
5_07_2015,10,SD,1,,Plectroglyphidodon johnstonianus,4,1,,15:30,35,4,
5_07_2015,10,SD,1,,Plectroglyphidodon johnstonianus,7,1,,15:30,35,4,
5_07_2015,10,SD,1,,Labroides dimidiatus,3,1,,15:30,35,4,
5_07_2015,10,SD,1,,Oxycheilinus unifasciatus,10,1,,15:30,35,4,
5_07_2015,10,SD,1,,Oxycheilinus unifasciatus,3,1,,15:30,35,4,
5_07_2015,10,SD,1,,Pseudocheilinus octotaenia,7,3,,15:30,35,4,
5_07_2015,10,SD,1,,Pseudocheilinus octotaenia,6,1,,15:30,35,4,
5_07_2015,10,SD,1,,Pseudocheilinus octotaenia,5,1,,15:30,35,4,
5_07_2015,10,SD,1,,Ctenochaetus marginatus,7,1,,15:30,35,4,
5_07_2015,10,SD,2,,Cephalopholis argus,26,1,,15:45,36,4,
5_07_2015,10,SD,2,,Cephalopholis miniata,10,1,,15:45,36,4,
5_07_2015,10,SD,2,,Centropyge flavissima,11,1,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,4,1,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,5,7,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,6,2,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,4,9,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,1,1,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,2,10,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis margaritifer,3,17,,15:45,36,4,
5_07_2015,10,SD,2,,Chromis vanderbilti,3,1,,15:45,36,4,
5_07_2015,10,SD,2,,Plectroglyphidodon johnstonianus,6,1,,15:45,36,4,
5_07_2015,10,SD,2,,Stegastes aureus,7,1,,15:45,36,4,
5_07_2015,10,SD,2,,Labroides dimidiatus,7,1,,15:45,36,4,
5_07_2015,10,SD,2,,Labroides dimidiatus,8,1,,15:45,36,4,
5_07_2015,10,SD,2,,Pseudocheilinus octotaenia,6,1,,15:45,36,4,
5_07_2015,10,SD,2,,Pseudocheilinus tetrataenia,4,1,,15:45,36,4,
5_07_2015,10,SD,2,,Scarus forsteni,27,1,,15:45,36,4,
5_07_2015,10,SD,2,,Ctenochaetus marginatus,6,3,,15:45,36,4,
5_07_2015,10,SD,2,,Balistapus undulatus,13,1,,15:45,36,4,
5_07_2015,10,SD,3,,Cephalopholis argus,30,1,,16:00,36,4,
5_07_2015,10,SD,3,,Paracirrhites arcatus,9,1,,16:00,36,4,
5_07_2015,10,SD,3,,Paracirrhites forsteri,10,1,,16:00,36,4,
5_07_2015,10,SD,3,,Paracirrhites forsteri,11,1,,16:00,36,4,
5_07_2015,10,SD,3,,Paracirrhites hemistictus,15,1,,16:00,36,4,
5_07_2015,10,SD,3,,Lutjanus monostigma,27,1,,16:00,36,4,
5_07_2015,10,SD,3,,Aphareus furca,20,2,,16:00,36,4,
5_07_2015,10,SD,3,,Centropyge loricula,4,2,,16:00,36,4,
5_07_2015,10,SD,3,,Centropyge loricula,6,3,,16:00,36,4,
5_07_2015,10,SD,3,,Centropyge flavissima,6,1,,16:00,36,4,
5_07_2015,10,SD,3,,Centropyge flavissima,7,1,,16:00,36,4,
5_07_2015,10,SD,3,,Chromis margaritifer,2,14,,16:00,36,4,
